Société,Ticker,Business_models
Technip Energies NV,TE.PA,"Technip Energies est un leader de l’ingénierie et des technologies énergétiques, spécialisé dans le gaz naturel liquéfié (GNL), la transition énergétique, le captage du carbone et l’hydrogène. Son modèle repose sur la gestion de grands projets d’infrastructures énergétiques, l’innovation technologique et une diversification vers les énergies bas carbone.
En 2024, Technip Energies a réalisé un chiffre d’affaires de 5,0 milliards d’euros (+13 % vs 2023) et un carnet de commandes en progression à 15,9 milliards d’euros. Ses revenus sont répartis en Project Delivery (70 % des revenus, en forte croissance grâce aux projets LNG) et Technology, Products & Services (30 %), porté par l’essor des carburants renouvelables et de la captation du CO₂. Le groupe a consolidé son portefeuille avec des contrats clés aux États-Unis, en Inde et au Royaume-Uni, dont la FEED du projet Exxon Rovuma LNG et un EPFC pour un terminal GNL à Lake Charles. Il a également réalisé deux acquisitions en Italie pour renforcer son expertise en ingénierie des procédés et conception de pipelines.
Risque principal : Technip Energies est exposé à la volatilité des investissements dans l’énergie, aux délais d’approbation des grands projets et à la concurrence croissante dans le secteur des énergies renouvelables et du captage du carbone. Son modèle repose sur une exécution rigoureuse des projets et une montée en puissance des solutions bas carbone."
Tenable Holdings Inc.,TENB,"Tenable est un acteur singulier de la cybersécurité, spécialisé dans la gestion des vulnérabilités et la sécurisation des environnements IT, cloud et OT (technologies opérationnelles). Son modèle repose sur une approche unifiée de l'exposition aux menaces, combinant analytique avancée, intelligence artificielle et automatisation des processus de sécurité.
En 2024, Tenable a réalisé un chiffre d’affaires de 227,1 millions de dollars au troisième trimestre (+13 % vs 2023), avec 96 % de revenus récurrents et une marge brute de 81 %. Son portefeuille de solutions comprend Tenable One, Tenable Vulnerability Management, Tenable Cloud Security et Tenable OT Security, permettant une couverture complète des risques sur les infrastructures cloud, on-premises et industrielles. L’entreprise détient la première place mondiale en gestion des vulnérabilités selon IDC et Forrester. Tenable bénéficie d’une forte présence dans les grandes entreprises, avec 65 % des sociétés du Fortune 500 et 50 % des entreprises du Global 2000 parmi ses clients. Son marché adressable est estimé à 33 milliards de dollars en 2027, porté par la croissance de la gestion des cyber-risques, des environnements cloud et des actifs critiques.
Risque principal : Tenable est exposé à la concurrence croissante des acteurs spécialisés en cybersécurité (Palo Alto Networks, CrowdStrike, Microsoft), aux évolutions réglementaires sur la protection des données et à la nécessité d’une innovation continue pour faire face aux nouvelles menaces. Son modèle repose sur l’expansion de ses solutions SaaS et l’intégration avancée de l’IA dans ses analyses de risques."
Thales SA,HO.PA,"Thales est un acteur reconnu de l’aérospatial, de la défense, de la sécurité numérique et des systèmes de communication. Son modèle repose sur une forte diversification sectorielle, l’innovation technologique et des contrats de long terme dans les secteurs stratégiques.
En 2024, le groupe a réalisé un chiffre d’affaires de 9,49 milliards d’euros au premier semestre (+8,9 % vs 2023) et un EBIT de 1,1 milliard d’euros (+10,4 %). La répartition des revenus se structure autour de trois divisions principales. Aerospace (27 % du chiffre d’affaires, 2,58 milliards €) est porté par l’avionique, mais subit des difficultés dans l’activité spatiale. Défense & Sécurité (52 % du chiffre d’affaires, 4,94 milliards €) bénéficie d’une forte dynamique avec une augmentation de 36 % des commandes, notamment grâce aux radars et aux systèmes de surveillance. Digital Identity & Security (20 % du chiffre d’affaires, 1,93 milliard €) est soutenu par la cybersécurité et la biométrie, bien que le marché des paiements soit en ralentissement.
Géographiquement, les revenus se répartissent entre l’Europe (61 %), l’Amérique du Nord (13 %), l’Asie (10 %) et le Moyen-Orient (6 %). Thales a finalisé la vente de son activité transport à Hitachi Rail pour 1,66 milliard d’euros, renforçant son recentrage sur ses segments clés. Par ailleurs, le groupe a acquis Cobham Aerospace Communications et Get SAT, consolidant sa position dans les communications sécurisées et la connectivité satellite.
Risque principal : Thales est exposé aux cycles de dépenses militaires, aux délais d’approbation des grands contrats, ainsi qu’aux régulations sur les technologies critiques et la cybersécurité. L’optimisation de la rentabilité et la montée en puissance des segments stratégiques (cybersécurité, spatial, défense avancée) seront essentielles pour assurer sa croissance."
Toray Industries Inc.,3402.T,"Toray est un acteur majeur des matériaux avancés et des solutions industrielles, opérant dans les secteurs des fibres et textiles, des produits chimiques de performance, des matériaux composites en fibre de carbone, de l’environnement et ingénierie, et des sciences de la vie. Son modèle repose sur une innovation continue dans les matériaux de haute technologie et une intégration forte des solutions durables.
En 2024, Toray a généré un chiffre d’affaires de 2 464,6 milliards de yens (-1,0 % vs 2023) avec une marge opérationnelle de 4,2 %. Les principales divisions sont Fibres & Textiles (40 % des revenus), Produits Chimiques de Performance (25 %), Matériaux Composites en Fibre de Carbone (10 %), Environnement & Ingénierie (15 %) et Sciences de la Vie (10 %). Toray mise sur la transition énergétique avec des investissements dans les membranes de filtration d’eau, les composites pour l’aéronautique et l’automobile, ainsi que les matériaux pour les semi-conducteurs et l’électronique.
Géographiquement, Toray est présent en Asie (46 % des revenus), en Amérique du Nord (31 %) et en Europe (22 %). Le groupe investit massivement dans la décarbonation et l’économie circulaire, avec des initiatives telles que les membranes d’électrolyse pour l’hydrogène et les solutions de recyclage avancé des polymères.
Risque principal : Toray est exposé à la volatilité des prix des matières premières, aux réglementations environnementales croissantes et à la concurrence intense dans les matériaux avancés. Sa stratégie repose sur une gestion optimisée de son portefeuille et un accent sur les innovations à forte valeur ajoutée pour maintenir sa compétitivité."
Toyota Tsusho Corp.,8015.T,"Toyota Tsusho est un conglomérat japonais diversifié, opérant dans les secteurs de la mobilité, des infrastructures, des énergies renouvelables, de l’économie circulaire et des services financiers. Son modèle repose sur une gestion stratégique des investissements, une forte diversification et une expansion ciblée sur les marchés émergents.
En 2024, le groupe a enregistré un bénéfice net de 331,4 milliards de yens (+16,6 % vs 2023) et une croissance continue des revenus grâce à l'expansion de son activité dans les énergies renouvelables et la logistique automobile. Toyota Tsusho est structuré en plusieurs divisions, dont Mobility (35 % des revenus), Infrastructure & Énergie (22 %), Produits industriels & Services (18 %), Économie circulaire (12 %), Santé & Consommation (8 %), et Afrique (5 %).
Géographiquement, Toyota Tsusho répartit ses revenus entre Japon (25,7 %), Afrique (21,1 %), Amérique du Nord (11,5 %), Europe (10,5 %), Asie & Pacifique (14,9 %), et Amérique du Sud (8,3 %). L’entreprise poursuit son expansion dans l’hydrogène et l’électrification, avec des investissements massifs dans les batteries, les biocarburants et la mobilité durable. Elle a récemment acquis Eurus Energy Holdings et Terras Energy pour renforcer son portefeuille en énergies renouvelables et développe des projets dans l’économie circulaire et les infrastructures en Afrique.
Risque principal : Toyota Tsusho est exposé à la volatilité des matières premières, aux tensions géopolitiques et aux régulations environnementales. Sa stratégie repose sur une gestion rigoureuse des risques et une diversification intelligente pour maintenir sa croissance et renforcer ses positions dans les secteurs d’avenir."
UBS Group,UBSG.SW,"UBS est un acteur majeur de la banque mondiale, spécialisé dans la gestion de fortune, la banque d’investissement, la gestion d’actifs et la banque de détail. Son modèle repose sur une diversification des activités, une gestion rigoureuse des risques et une forte présence internationale.
En 2024, UBS a généré un chiffre d’affaires de 36,9 milliards USD (+23 % vs 2023) et un bénéfice net de 4,3 milliards USD. Le groupe est structuré en quatre divisions. Global Wealth Management (50 % des revenus, 18,4 milliards USD) reste la principale source de revenus grâce à sa forte présence sur les marchés asiatiques et américains. Personal & Corporate Banking (19 % des revenus, 7,1 milliards USD) bénéficie de la solidité du marché suisse. Asset Management (7 % des revenus, 2,4 milliards USD) connaît une progression grâce aux investissements en produits alternatifs et ESG. Investment Bank (22 % des revenus, 8,2 milliards USD) affiche une reprise des activités de trading et de conseil en fusions-acquisitions.
UBS est bien diversifié géographiquement avec 57 % de ses revenus en Amérique du Nord, 30 % en Europe et 13 % en Asie-Pacifique. L’entreprise poursuit l’intégration de Credit Suisse, renforçant ainsi sa position en gestion de fortune et en banque d’investissement. Le groupe a également finalisé la vente de certaines activités non stratégiques et accéléré ses économies de coûts pour atteindre 7,5 milliards USD d’économies d’ici 2026.
Risque principal : UBS est exposé aux cycles économiques affectant la gestion de fortune, aux réglementations bancaires accrues après l’acquisition de Credit Suisse, ainsi qu’aux tensions géopolitiques pouvant affecter les marchés financiers. Son modèle repose sur une exécution efficace de l’intégration et un contrôle strict des coûts."
Unibail-Rodamco-Westfield SE,URW.PA,"Unibail-Rodamco-Westfield est un acteur reconnu de l’immobilier commercial, spécialisé dans les centres commerciaux, les bureaux, les espaces de convention et d’exposition. Son modèle repose sur la gestion d’un portefeuille immobilier de premier plan, l’optimisation des revenus locatifs et la diversification vers le retail media et les services événementiels.
En 2024, URW a généré un chiffre d’affaires de 1,19 milliard d’euros (+5,6 % en organique) et un EBITDA de 1,195 milliard d’euros (+5,8 %). La répartition des revenus est la suivante : Centres commerciaux (86 % des actifs, 43 milliards € de valeur), Bureaux et autres (6 %), Conventions & Expositions (5 %) et Services (2 %). Le groupe bénéficie de la montée en puissance des revenus issus du retail media (+24,7 %) avec Westfield Rise et d’une croissance des loyers garantis (+7,4 %).
Géographiquement, 56 % des actifs sont en Europe et 44 % aux États-Unis. En Europe, les loyers des centres commerciaux ont progressé de +5,3 %, portés par une hausse de la fréquentation (+2,9 %) et des ventes des locataires (+4,2 %). Aux États-Unis, la performance des Flagships (centres commerciaux premium) affiche une croissance des ventes locataires de +5,1 %, avec un taux d’occupation de 93 %.
Le groupe poursuit sa stratégie de recentrage, avec 300 millions d’euros de cessions réalisées et 1 milliard d’euros d’actifs en cours de discussion pour des ventes. Cependant, le projet Westfield Hamburg-Überseequartier a connu un dépassement de coûts de 500 millions d’euros, portant son coût total à 2,16 milliards d’euros.
Risque principal : URW est exposé aux taux d’intérêt élevés impactant la valorisation de son portefeuille, aux coûts de construction en hausse et aux défis du désendettement. Son ratio d’endettement Net Debt/EBITDA atteint 9,3x, nécessitant une gestion prudente des investissements et des cessions d’actifs."
Veolia Environnement SA,VIE.PA,"Veolia est un leader mondial des services de gestion de l’eau, des déchets et de l’énergie, opérant un modèle basé sur l’économie circulaire, la transition écologique et l’innovation technologique. Son nouveau plan stratégique GreenUp 2024-2027 vise à accélérer la décarbonation, la dépollution et la préservation des ressources.
En 2024, Veolia a réalisé un chiffre d’affaires de 32,5 milliards d’euros (+1,7 % à périmètre et change constants) et un EBITDA de 4,9 milliards d’euros (+5,6 %). Ses revenus sont répartis entre l’eau (41 %), les déchets (36 %) et l’énergie (23 %). L’activité Technologies de l’eau est en forte progression (+13,5 %), tirée par des innovations dans le traitement des micropolluants et la réutilisation des eaux usées. Le groupe a également renforcé son offre avec BeyondPFAS, une solution visant à éliminer les polluants éternels (PFAS).
Géographiquement, Veolia réalise 41 % de son chiffre d’affaires en Europe, 27 % dans le reste du monde, 20 % en France et 11 % dans les technologies de l’eau. L’entreprise investit 4 milliards d’euros dans la croissance, avec un objectif d’EBITDA supérieur à 8 milliards d’euros en 2027 et une réduction de 50 % de ses émissions de CO₂ d’ici 2032. Veolia poursuit sa stratégie de désendettement, avec un endettement net stable à 18,9 milliards d’euros, tout en accélérant ses cessions d’actifs non stratégiques.
Risque principal : Veolia est exposé à la volatilité des prix de l’énergie, aux réglementations environnementales croissantes et aux cycles économiques affectant la gestion des déchets et de l’eau. Son modèle repose sur l’innovation et l’optimisation des ressources pour maintenir sa rentabilité dans un contexte de transition écologique rapide."
Vinci SA,DG.PA,"Vinci est un leader mondial de la construction, des concessions d’infrastructures et des services énergétiques, opérant un modèle basé sur la gestion d’actifs à long terme, la diversification sectorielle et l’optimisation des infrastructures de mobilité et d’énergie.
En 2024, Vinci a généré un chiffre d’affaires de 52,3 milliards d’euros (+3,3 % vs 2023) avec un EBITDA de 5,67 milliards d’euros (+6,8 %). Le groupe est structuré en plusieurs divisions : Concessions (17 % du CA), Vinci Energies (28 %), Cobra IS (9 %), Vinci Construction (45 %) et Immobilier (1 %). Vinci Autoroutes affiche une hausse de 3,6 % du trafic, tandis que Vinci Airports (+15 %) bénéficie d’une forte reprise post-Covid, notamment avec les acquisitions de l’aéroport d’Édimbourg et de Budapest.
Vinci poursuit une stratégie d’expansion ciblée, avec l’acquisition de Denver Northwest Parkway (États-Unis) et d’une participation majoritaire dans l’autoroute SH1 en Inde. Le groupe a également investi dans la cybersécurité avec l’acquisition de Fernao (Allemagne/Suisse) et dans l’électrotechnique maritime avec RH Marine et Bakker Sliedrecht (Pays-Bas).
Risque principal : Vinci est exposé aux fluctuations des investissements publics dans les infrastructures, aux contraintes réglementaires sur les concessions et à la hausse des coûts de construction. La gestion de son endettement net (23,3 milliards d’euros) et la rentabilité des nouveaux projets seront des facteurs clés pour maintenir sa croissance."
Walmart Inc.,WMT,"Walmart est un leader mondial de la distribution, opérant un modèle basé sur le commerce de détail physique, le e-commerce, l’abonnement et les services financiers. Son modèle repose sur l’optimisation des coûts, l’expansion numérique et l’intégration des données clients pour la personnalisation des offres.
En 2024, Walmart a réalisé un chiffre d’affaires de 642,6 milliards USD (+5,1 % vs 2023) et un résultat opérationnel ajusté de 27,1 milliards USD. Son activité est segmentée en Walmart US (68 % des revenus), Walmart International (19 %) et Sam’s Club (13 %). Le e-commerce a affiché une croissance de 27 %, représentant une part croissante des ventes globales, soutenue par le développement des services de livraison et du marketplace (+42 %).
Géographiquement, Walmart est dominant aux États-Unis (72 % des revenus), suivis de l’Asie (14 %), de l’Amérique latine (8 %) et de l’Europe (6 %). L’entreprise poursuit son expansion avec l’optimisation des formats de magasins, le renforcement du e-commerce et l’essor du retail media via Walmart Connect (+26 % de revenus publicitaires). Walmart a également réalisé 1 milliard USD de rachats d’actions au dernier trimestre, avec un programme de rachat restant de 13,5 milliards USD.
Risque principal : Walmart est exposé à la pression sur les marges due à l’inflation et aux coûts de main-d'œuvre, à la concurrence croissante d’Amazon et d’acteurs spécialisés, ainsi qu’aux fluctuations des devises impactant les performances internationales. Son succès repose sur une maîtrise des coûts et une accélération de sa transformation numérique."
Zurich Insurance Group AG,ZURN.SW,"Zurich Insurance Group est un acteur mondial de l’assurance multirisque, opérant un modèle basé sur la diversification des segments d’activité, la gestion des risques et une forte capitalisation. Son activité repose sur trois grandes divisions : l’assurance dommages (P&C), l’assurance vie (Life) et Farmers, avec une stratégie d’innovation et d’optimisation de la rentabilité.
En 2024, Zurich a réalisé un bénéfice opérationnel (BOP) record de 4,0 milliards USD (+7 % vs 2023) et un résultat net de 3,0 milliards USD (+21 %). La répartition des revenus est dominée par l’assurance dommages (P&C, 55 % du chiffre d’affaires), l’assurance vie (25 %) et Farmers (20 %). La division P&C a généré un BOP de 2,2 milliards USD, avec une amélioration du ratio combiné malgré des pertes liées aux catastrophes naturelles. L’assurance vie affiche un bénéfice record de 1,0 milliard USD, soutenu par la croissance des contrats unit-linked et de protection. Farmers a progressé de 10 %, grâce à une meilleure rentabilité des contrats et à la montée en puissance des services de gestion.
Géographiquement, Zurich répartit ses revenus entre l’Europe (61 %), l’Amérique du Nord (13 %), l’Asie-Pacifique (10 %) et l’Amérique latine (6 %). L’entreprise continue d’optimiser son portefeuille avec des acquisitions stratégiques, dont Cover-More, renforçant sa présence dans l’assurance voyage avec l’acquisition d’AIG Personal Travel. Sa solidité financière est illustrée par un ratio de solvabilité SST de 232 %, bien au-delà de son objectif de 160 %.
Risque principal : Zurich est exposé aux événements climatiques extrêmes affectant l’assurance dommages, à la pression réglementaire sur le marché de l’assurance et à la volatilité des marchés financiers. Son succès repose sur une gestion prudente des risques et une expansion ciblée sur des segments à forte croissance."
